greV,greQ,greA,cgpa,toeflScore,internExp,confPubs,journalPubs,researchExp,industryExp,university
160,167,4.5,8.5,112,5,0,0,0,18,Worcester Polytechnic Institute
146,157,3,7.828,94,0,0,0,0,66,Worcester Polytechnic Institute
130,163.8297872,2.5,5.7,107,0,0,0,0,0,Worcester Polytechnic Institute
130,164,3.5,5.2,107,0,0,0,0,0,Worcester Polytechnic Institute
150,161,4.5,6.22,104,0,0,0,0,0,Worcester Polytechnic Institute
147,156,3,5.2,95,0,0,0,0,0,Worcester Polytechnic Institute
130,157.4468085,3,6.4,101,0,0,0,0,0,Worcester Polytechnic Institute
130,165.9574468,4.5,7.14,107,0,0,0,0,0,Worcester Polytechnic Institute
130,164,3.5,5.73,94,0,0,0,0,0,Worcester Polytechnic Institute
130,165.9574468,3.5,6.5,99,0,0,0,0,0,Worcester Polytechnic Institute
130,165.9574468,3.5,6.5,99,0,0,0,0,0,Worcester Polytechnic Institute
130,165.9574468,3.5,6.5,99,0,0,0,0,0,Worcester Polytechnic Institute
146,161,3,5.484,91,0,0,0,0,0,Worcester Polytechnic Institute
149,159,3,7.65,101,0,0,0,0,39,Worcester Polytechnic Institute
131.9148936,164,3,7.05,96,0,0,0,0,0,Worcester Polytechnic Institute
143,159,3,5.5,98,0,0,0,0,24,Worcester Polytechnic Institute
156,159,3.5,7.238,111,0,0,0,0,0,Worcester Polytechnic Institute
154,161,3.5,7.8,112,0,0,0,0,0,Worcester Polytechnic Institute
130,153.1914894,3,6.324,94,0,0,0,0,0,Worcester Polytechnic Institute
143,162,3.5,8.74,99,0,0,0,0,0,Worcester Polytechnic Institute
130,153.1914894,3.5,6.4,105,0,0,0,0,0,Worcester Polytechnic Institute
148,164,4.5,7.75,94,0,0,0,0,0,Worcester Polytechnic Institute
162,161,3.5,8.46,108,0,0,0,0,0,Worcester Polytechnic Institute
152,163,3.5,6.52,109,0,0,0,0,36,Worcester Polytechnic Institute
159,164,3.5,6.7,102,0,0,0,0,0,Worcester Polytechnic Institute
165,164,3,5.933,114,0,0,0,0,0,Worcester Polytechnic Institute
130,170.212766,3.5,6.7,107,0,0,0,0,0,Worcester Polytechnic Institute
136.1702128,165.9574468,3,7,107,0,0,0,0,0,Worcester Polytechnic Institute
153,161,3,7.3,107,0,0,0,0,24,Worcester Polytechnic Institute
149,160,3,7.2,101,0,0,0,0,0,Worcester Polytechnic Institute
130,161.7021277,4,7.9,115,0,0,0,0,0,Worcester Polytechnic Institute
152,163,3,6.2,95,0,0,0,0,0,Worcester Polytechnic Institute
145,160,3,7.59,93,0,0,0,0,26,Worcester Polytechnic Institute
130,161.7021277,3,8,103,0,0,0,0,0,Worcester Polytechnic Institute
156,167,4,6.825,111,0,0,0,0,0,Worcester Polytechnic Institute
159,168,3.5,8.5,107,0,0,0,0,0,Worcester Polytechnic Institute
130,164,3,8.47,107,0,0,0,0,0,Worcester Polytechnic Institute
130,151.0638298,3,5.8,103,0,0,0,0,0,Worcester Polytechnic Institute
134.0425532,163.8297872,4,8.328,110,0,0,0,0,0,Worcester Polytechnic Institute
130,148.9361702,3.5,6.33,107,0,0,0,0,0,Worcester Polytechnic Institute
149,158,3,6.7,101,0,0,0,0,0,Worcester Polytechnic Institute
140,156,2,9.1,96,0,0,0,0,0,Worcester Polytechnic Institute
130,161.7021277,3.5,7.813,113,0,0,0,0,0,Worcester Polytechnic Institute
158,167,4.5,8.69,108,0,0,0,0,0,Worcester Polytechnic Institute
145,159,3,6.4,98,0,0,0,0,0,Worcester Polytechnic Institute
153,152,3,8.04,102,0,0,0,0,36,Worcester Polytechnic Institute
148,163,4,5.3,101,0,0,0,0,0,Worcester Polytechnic Institute
130,157.4468085,4.5,7.227,101,0,0,0,0,0,Worcester Polytechnic Institute
150,151,4,6.3,99,0,0,0,0,0,Worcester Polytechnic Institute
156,159,4,6.75,103,0,0,0,0,0,Worcester Polytechnic Institute
130,153.1914894,3,5.4,94,0,0,0,0,0,Worcester Polytechnic Institute
130,155.3191489,3.5,6.25,106,0,0,0,0,0,Worcester Polytechnic Institute
156,157,3,5.6,109,0,0,0,0,48,Worcester Polytechnic Institute
143,160,3,7.05,89,0,0,0,0,0,Worcester Polytechnic Institute
159,168,3.5,7,111,0,0,0,0,14,Worcester Polytechnic Institute
150,157,3,7.8,108,0,0,0,0,43,Worcester Polytechnic Institute
152,162,4.5,7.85,112,4,2,0,0,15,Worcester Polytechnic Institute
149,157,4,6.85,106,0,0,0,0,0,Worcester Polytechnic Institute
138.2978723,168.0851064,3,5.8,106,0,0,0,0,0,Worcester Polytechnic Institute
150,161,4,8.3,110,0,0,0,0,36,Worcester Polytechnic Institute
146,153,3.5,5.6,97,0,0,0,0,0,Worcester Polytechnic Institute
147,157,3.5,7.8,114,0,0,0,0,0,Worcester Polytechnic Institute
130,165.9574468,3.5,6.1,94,0,0,0,0,0,Worcester Polytechnic Institute
130,170.212766,3,6.46,90,0,0,0,0,0,Worcester Polytechnic Institute
130,163.8297872,3,6.15,95,0,0,0,0,0,Worcester Polytechnic Institute
145,162,3,6.1,89,0,0,0,0,0,Worcester Polytechnic Institute
152,160,3.5,6.5,112,0,0,0,0,0,Worcester Polytechnic Institute
143,157,3.5,6.4,107,3,0,0,0,54,Worcester Polytechnic Institute
155,153,3.5,6.92,106,8,0,2,0,20,Worcester Polytechnic Institute
130,161.7021277,3,7,109,0,0,0,0,0,Worcester Polytechnic Institute
142,159,3,6.5,107,4,0,0,0,0,Worcester Polytechnic Institute
154,167,3,6.6,110,0,0,0,0,0,Worcester Polytechnic Institute
130,165.9574468,3.5,8.25,106,0,0,0,0,0,Worcester Polytechnic Institute
130,155.3191489,2.5,6.2,95,0,0,0,0,0,Worcester Polytechnic Institute
151,151,3.5,8.3,105,0,0,0,0,0,Worcester Polytechnic Institute
130,170.212766,4,7.6,107,0,0,0,0,0,Worcester Polytechnic Institute
153,158,3,7.76,103,0,0,0,0,0,Worcester Polytechnic Institute
161,168,4,8.29,109,0,0,0,0,0,Worcester Polytechnic Institute
130,155.3191489,3,7.5,92,0,0,0,0,0,Worcester Polytechnic Institute
130,157.4468085,3,6.8,97,0,0,0,0,0,Worcester Polytechnic Institute
153,163,3,8.63,107,0,0,0,0,0,Worcester Polytechnic Institute
146.8085106,151.0638298,3.5,8.9,107,0,0,0,0,0,Worcester Polytechnic Institute
157,170,4,5.97,108,0,0,0,0,0,Worcester Polytechnic Institute
148,157,3,5.8,102,0,0,0,0,0,Worcester Polytechnic Institute
134.0425532,164,4,5.7,112,0,0,0,0,0,Worcester Polytechnic Institute
154,164,3,7.3,109,0,0,0,0,0,Worcester Polytechnic Institute
155,166,4,7.1,109,0,0,0,0,0,Worcester Polytechnic Institute
148,164,4,8.3,106,0,0,0,0,0,Worcester Polytechnic Institute
153,159,3,7.2,99,0,0,0,0,0,Wayne State University
130,164,3,8.2,107,0,0,0,0,0,Wayne State University
140,156,3,5.9,107,0,0,0,0,0,Wayne State University
151,164,3.5,5.69,112,0,0,0,0,12,Wayne State University
150,151,3,7.62,99,0,0,0,0,0,Wayne State University
130,153.1914894,3,8.25,88,0,0,0,0,0,Wayne State University
154,164,3,5.9,88,0,0,0,0,0,Wayne State University
153,157,3.5,6.2,110,0,0,0,0,0,Wayne State University
148,160,3.5,6.2,107,0,0,0,0,0,Wayne State University
145,164,3,7.56,95,0,0,0,0,0,Wayne State University
149,165,3.5,5.93,91,0,0,0,0,0,Wayne State University
142,153,3.5,6.8,107,2,0,0,0,9,Wayne State University
154,161,5,8.29,107,0,0,0,0,0,Wayne State University
145,152,2.5,5.93,107,0,0,0,0,0,Wayne State University
143,158,2.5,7.7,89,0,0,0,0,0,Wayne State University
151,167,3.5,7.4,112,0,0,0,0,0,Wayne State University
138,152,3,6.8,95,0,0,0,0,0,Wayne State University
145,161,3,7.78,98,6,0,0,0,3,Wayne State University
145,153,3,7.6,99,0,0,0,0,0,Wayne State University
144,164,3,8.76,107,0,0,0,0,0,Wayne State University
155,164,4,6.45,110,0,0,0,0,0,Wayne State University
140,158,3,8.8,91,3,0,1,0,12,Wayne State University
130,164,3.5,7.4,103,0,0,0,0,0,Wayne State University
140,152,3,6.293,107,0,0,0,0,24,Wayne State University
130,153.1914894,3,6.1,107,0,0,0,0,0,Wayne State University
150,154,3,6.42,107,0,0,0,0,0,Wayne State University
130,159.5744681,3.5,6.86,102,0,0,0,0,0,Wayne State University
146,163,3,6.4,89,0,0,0,0,0,Wayne State University
147,162,3,6.1,98,0,0,0,0,0,Wayne State University
145,159,3,7.62,107,0,0,0,0,0,Wayne State University
146,157,3,8.03,99,0,0,0,0,0,Wayne State University
146,152,3,7.4,107,0,0,0,0,0,Wayne State University
149,159,3.5,7.9,93,0,0,0,0,0,Wayne State University
138,162,3,7.8,107,0,0,0,0,0,Wayne State University
149,162,3.5,6.4,105,0,0,0,0,6,Wayne State University
157,164,4,7.1,107,0,0,0,0,20,Wayne State University
143,157,3.5,6.6,95,4,0,0,15,13,Wayne State University
146,155,3.5,6.5,100,0,0,0,0,32,Wayne State University
149,153,2.5,6.29,94,0,0,0,0,0,Wayne State University
143,148,2.5,8.5,86,0,0,0,0,33,Wayne State University
145,157,3,6.64,107,0,0,0,0,0,Wayne State University
158,157,4,7.104,107,0,0,0,0,0,Wayne State University
136,155,3,7.96,107,0,0,0,0,0,Wayne State University
130,157.4468085,4,6.6,107,0,0,0,0,0,Wayne State University
130,170.212766,4,6.24,101,0,0,0,0,0,Wayne State University
130,168.0851064,3.5,6,95,0,0,0,0,0,Wayne State University
130,153.1914894,3.5,7.7,101,0,0,0,0,0,Wayne State University
152,151,3,7.3,107,0,0,0,0,0,Wayne State University
145,163,3,6.722,96,6,0,0,0,48,Wayne State University
130,164,4,8.04,110,0,0,0,0,0,Wayne State University
151,153,3.5,7.7,107,0,0,0,0,0,Wayne State University
130,148.9361702,3,6,107,0,0,0,0,0,Wayne State University
147,165,3.5,6.89,105,2,0,0,0,0,Wayne State University
130,148.9361702,3,6.7,107,0,0,0,0,0,Wayne State University
140,155,2.5,6.6,107,0,0,0,0,0,Wayne State University
143,158,3,7,89,0,0,0,0,0,Wayne State University
139,158,3,7,107,0,0,0,0,0,Wayne State University
142,160,3,6.8,90,0,0,0,0,0,Wayne State University
145,159,3,7.8,100,0,0,0,0,0,Wayne State University
130,155.3191489,3,7.5,96,0,0,0,0,0,Wayne State University
150,151,3,6.93,92,0,0,0,0,0,Wayne State University
166,159,4.5,7.3,119,0,0,0,0,0,Wayne State University
149,163,4.5,5.8,106,0,0,0,0,0,Wayne State University
130,165.9574468,3,5.542,100,0,0,0,0,0,Wayne State University
140,159,3.5,8.75,107,0,0,0,0,0,Wayne State University
150,161,3,6.4,104,0,0,0,0,0,Wayne State University
150,164,3,8.32,86,0,0,0,0,0,Wayne State University
139,156,3,6.7,93,0,0,0,0,0,Wayne State University
141,152,3,6.2,107,0,0,0,0,0,Wayne State University
130,155.3191489,3,8.73,102,0,0,0,0,0,Wayne State University
146,156,3,7.7,107,0,0,0,0,0,Wayne State University
140,164,3,6.486,97,0,0,0,0,0,Wayne State University
140,159,3,7.2,88,0,0,0,0,0,Wayne State University
145,154,2.5,5.8,107,0,0,0,0,0,Wayne State University
149,158,3.5,7.75,103,0,0,0,0,0,Wayne State University
147,160,3,6.5,98,0,0,0,0,0,Wayne State University
148,152,3,7.48,95,3,0,0,53,53,Wayne State University
151,151,3.5,7.64,93,2,0,0,0,0,Wayne State University
146,162,3,6.9,107,0,0,0,0,0,Wayne State University
150,155,3,5.6,107,0,0,0,0,0,Wayne State University
149,161,3,5.8,100,0,0,0,0,12,Wayne State University
149,160,3,7.94,107,0,0,0,0,0,Wayne State University
142,154,3.5,6.779,90,0,0,0,0,0,Wayne State University
130,164,3.5,5.8,97,0,0,0,0,0,Wayne State University
144,152,3,7.58,97,0,2,2,0,0,Wayne State University
149,151,3,6.4,93,0,0,0,0,50,Wayne State University
130,161.7021277,3,7.82,99,0,0,0,0,0,Wayne State University
141,156,2.5,7.6,107,0,1,1,0,18,Wayne State University
145,162,3.5,6.2,96,3,3,1,0,0,Wayne State University
145,158,3,7.7,97,0,0,0,0,0,Wayne State University
143,159,3,7.52,107,3,0,0,0,27,Wayne State University
143,159,3,6.02,107,0,0,0,0,0,Wayne State University
143,159,3.5,7.2,100,0,0,0,6,0,Wayne State University
145,159,3,6.8,103,0,0,0,0,0,Wayne State University
139,157,3,7.73,107,0,0,0,0,23,Wayne State University
157,154,3,5.7,106,0,0,0,0,0,Wayne State University
154,169,4,8.2,117,5,1,0,17,0,Wayne State University
161,160,3,5.907,112,0,0,0,0,42,Wayne State University
144.6808511,157.4468085,3.5,7.8,116,12,0,0,24,24,Wayne State University
130,168.0851064,5.5,7.314,107,0,0,0,0,0,Wayne State University
142,161,3,7.45,107,0,0,0,0,0,Wayne State University
146,161,3.5,6.04,102,0,0,0,0,0,Wayne State University
130,155.3191489,2.5,6.779,100,0,0,0,0,0,Wayne State University
150,158,3,8.05,107,0,0,0,0,0,Wayne State University
146,160,3.5,7,105,0,0,0,0,0,Wayne State University
130,148.9361702,2.5,8.24,107,0,0,0,0,0,Wayne State University
143,163,3,6.5,100,0,0,0,0,0,Wayne State University
149,153,3.5,7.1,86,0,0,0,0,0,Wayne State University
130,164,3,7.7,110,0,0,0,0,0,Wayne State University
146,157,3,7.55,107,0,0,0,0,0,Wayne State University
138,152,3,6.85,107,0,0,0,0,49,Wayne State University
139,156,2.5,8.16,96,0,0,0,0,0,Wayne State University
145,151,2.5,6.2,88,0,0,0,0,0,Wayne State University
146,164,3,6.68,107,0,0,0,0,0,Wayne State University
149,157,2.5,6.3,107,0,0,0,0,0,Wayne State University
145,159,3,5.3,107,0,0,0,0,0,Wayne State University
130,157.4468085,3.5,5.6,94,0,0,0,0,0,Wayne State University
144,160,3.5,6.65,97,0,0,0,0,0,Wayne State University
146,161,3,8.36,87,0,0,0,0,0,Wayne State University
130,164,3,6.5,107,0,0,0,0,0,Wayne State University
130,163.8297872,3.5,5.835,98,0,0,0,0,0,Wayne State University
142,162,3,6.87,91,0,0,0,0,32,Wayne State University
151,160,3,7,107,0,0,0,0,0,Wayne State University
144,156,2.5,6.5,107,2,1,0,0,0,Wayne State University
146,150,3,6.5,107,0,0,0,0,0,Wayne State University
153,163,3,6.53,107,3,0,0,0,33,Wayne State University
130,164,3,6.6,92,0,0,0,0,0,Wayne State University
147,150,2.5,7.91,107,0,0,0,0,0,Wayne State University
143,155,3,8.36,107,0,0,0,0,38,Wayne State University
148,169,3.5,7.8,107,0,0,0,0,0,Wayne State University
149,158,3.5,6,107,0,0,0,0,0,Wayne State University
149,161,3,6.8,97,0,0,0,0,0,Wayne State University
150,159,2.5,6.5,87,0,0,0,0,0,Wayne State University
149,155,3,5.3,102,0,0,0,0,0,Wayne State University
159,170,4,7.7,113,2,1,0,0,24,Virginia Polytechnic Institute and State University
150,167,3,8.03,102,0,2,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4,6.1,113,0,0,0,0,0,Virginia Polytechnic Institute and State University
158,170,4.5,9.12,111,4,2,1,12,24,Virginia Polytechnic Institute and State University
146.8085106,168.0851064,4,6,111,0,0,0,0,0,Virginia Polytechnic Institute and State University
160,161,3.5,8.4,107,0,0,0,4,28,Virginia Polytechnic Institute and State University
152,161,4,9.1,111,1,0,0,0,0,Virginia Polytechnic Institute and State University
154,165,3.5,7.01,105,0,1,0,0,27,Virginia Polytechnic Institute and State University
152,167,4,9.47,116,4,1,0,4,22,Virginia Polytechnic Institute and State University
158,170,4,8.52,116,0,0,0,0,0,Virginia Polytechnic Institute and State University
138.2978723,164,5,7.96,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,161.7021277,3,7.5,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
158,170,4.5,9.27,117,2,0,0,0,0,Virginia Polytechnic Institute and State University
164,163,4,8.194,107,4,2,0,0,0,Virginia Polytechnic Institute and State University
167,168,4,7.13,105,0,0,0,0,0,Virginia Polytechnic Institute and State University
154,162,3.5,8.7,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4,9.14,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
134.0425532,170.212766,3.5,8.6,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
160,162,4,9.1,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,157.4468085,3.5,8.2,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
138.2978723,168.0851064,3.5,8.75,101,0,0,0,0,0,Virginia Polytechnic Institute and State University
158,165,3.5,8.87,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,165.9574468,4,7.45,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4.5,7.5,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
153.1914894,170.212766,4,8.82,103,0,0,0,0,0,Virginia Polytechnic Institute and State University
152,165,4.5,7.48,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
163,166,4.5,8.95,114,2,0,0,7,0,Virginia Polytechnic Institute and State University
130,170.212766,3.5,9.05,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
155.3191489,170.212766,4,8,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
161,167,4,8.09,108,0,0,0,0,0,Virginia Polytechnic Institute and State University
161,170,4.5,8.04,115,0,0,0,0,0,Virginia Polytechnic Institute and State University
